n: 1
X: 10000
T: 1
exec_time: 0.0366807
exec_time: 0.035605
exec_time: 0.0359189
exec_time: 0.0361231
exec_time: 0.0354729
exec_time: 0.0446821
exec_time: 0.0386078
exec_time: 0.0375131
exec_time: 0.0359095
exec_time: 0.0359213
n: 2
X: 10000
T: 1
exec_time: 0.027111
exec_time: 0.0241303
exec_time: 0.0228299
exec_time: 0.0230843
exec_time: 0.026958
exec_time: 0.0256547
exec_time: 0.0237404
exec_time: 0.023239
exec_time: 0.0263363
exec_time: 0.0262409
n: 3
X: 10000
T: 1
exec_time: 0.0276678
exec_time: 0.0219519
exec_time: 0.0217448
exec_time: 0.0260519
exec_time: 0.0222604
exec_time: 0.0222606
exec_time: 0.0208717
exec_time: 0.021839
exec_time: 0.0217202
exec_time: 0.0221667
n: 4
X: 10000
T: 1
exec_time: 0.0201199
exec_time: 0.0195608
exec_time: 0.0210613
exec_time: 0.0258046
exec_time: 0.0200196
exec_time: 0.0203919
exec_time: 0.020023
exec_time: 0.0208516
exec_time: 0.0208686
exec_time: 0.0215748
n: 5
X: 10000
T: 1
exec_time: 0.0297281
exec_time: 0.0261297
exec_time: 0.0215932
exec_time: 0.0218223
exec_time: 0.0211332
exec_time: 0.0253678
exec_time: 0.0213926
exec_time: 0.0240512
exec_time: 0.0291637
exec_time: 0.0346113
n: 6
X: 10000
T: 1
exec_time: 0.0266578
exec_time: 0.0252487
exec_time: 0.0227018
exec_time: 0.0267818
exec_time: 0.0281567
exec_time: 0.028846
exec_time: 0.0260282
exec_time: 0.0251488
exec_time: 0.0318614
exec_time: 0.031258
n: 7
X: 10000
T: 1
exec_time: 0.0285155
exec_time: 0.0380058
exec_time: 0.0399501
exec_time: 0.0326344
exec_time: 0.0360438
exec_time: 0.0332162
exec_time: 0.0345794
exec_time: 0.0323391
exec_time: 0.0294222
exec_time: 0.0292323
n: 8
X: 10000
T: 1
exec_time: 0.0333223
exec_time: 0.0288066
exec_time: 0.0267256
exec_time: 0.0750079
exec_time: 0.0260495
exec_time: 0.0339336
exec_time: 0.0285784
exec_time: 0.03952
exec_time: 0.0432402
exec_time: 0.0419309
